Start: (-0.89, 1.74), Iterations: 65.0, Height: 2.397101 
Start: (-0.37, 1.74), Iterations: 100.0, Height: 2.289754 
Start: (0.16, 1.74), Iterations: 93.0, Height: 3.000000 
Start: (0.68, 1.74), Iterations: 100.0, Height: 2.275437 
Start: (1.21, 1.74), Iterations: 25.0, Height: 1.854695 
Start: (1.74, 1.74), Iterations: 85.0, Height: 2.464491 
Start: (2.26, 1.74), Iterations: 67.0, Height: 0.744147 
Start: (2.79, 1.74), Iterations: 100.0, Height: 2.289754 
Start: (3.32, 1.74), Iterations: 7.0, Height: 2.397101 
Start: (3.84, 1.74), Iterations: 85.0, Height: 2.081189 
Start: (4.37, 1.74), Iterations: 47.0, Height: 0.744147 
Start: (4.89, 1.74), Iterations: 13.0, Height: 1.646255 
Start: (5.42, 1.74), Iterations: 53.0, Height: 2.397101 
Start: (5.95, 1.74), Iterations: 65.0, Height: 2.275437 
Start: (6.47, 1.74), Iterations: 65.0, Height: 2.081189 
Start: (7.00, 1.74), Iterations: 47.0, Height: 0.567170 
Start: (-3.00, 2.26), Iterations: 47.0, Height: 2.289754 
Start: (-2.47, 2.26), Iterations: 13.0, Height: 0.291594 
Start: (-1.95, 2.26), Iterations: 33.0, Height: 1.207130 
Start: (-1.42, 2.26), Iterations: 67.0, Height: 3.000000 
Start: (-0.89, 2.26), Iterations: 33.0, Height: 3.000000 
Start: (-0.37, 2.26), Iterations: 81.0, Height: 2.081189 
Start: (0.16, 2.26), Iterations: 81.0, Height: 0.196794 
Start: (0.68, 2.26), Iterations: 81.0, Height: 3.000000 
Start: (1.21, 2.26), Iterations: 65.0, Height: 0.276748 
Start: (1.74, 2.26), Iterations: 81.0, Height: 0.196794 
Start: (2.26, 2.26), Iterations: 47.0, Height: 0.291594 
Start: (2.79, 2.26), Iterations: 81.0, Height: 1.646255 
Start: (3.32, 2.26), Iterations: 45.0, Height: 3.000000 
Start: (3.84, 2.26), Iterations: 93.0, Height: 1.056492 
Start: (4.37, 2.26), Iterations: 41.0, Height: 0.744147 
